artist_name,artist_id,artist_popularity,artist_n_followers,genre
Charli XCX,25uiPmTg16RbhZWAqwLBy5,77,3103834,pop
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,80,22385414,pop
Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,80,6979397,alternative r&b
Chase Matthew,7HTLVyjNf0VRxfIgNcfRRH,66,248402,modern country pop
Chayanne,1JbemQ1fPt2YmSLjAFhPBv,73,7754716,latin pop
Chencho Corleone,37230BxxYs9ksS7OkZw3IU,79,860906,urbano latino
Chevelle,56dO9zeHKuU5Gvfc2kxHNw,64,1819757,alternative metal
Chicago,3iDD7bnsjL9J4fO298r0L0,69,3987073,rock
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,77,4694491,rap
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,79,12418400,rap
Chino Pacas,2rmkQLzj0k4nZdQehOUByO,80,1808924,corrido
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,87,21330326,rap
Chris Jedi,0qTZZWLzuD59Un5r1speHm,73,2613920,urbano latino
Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,69,320366,pop dance
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,82,6843035,contemporary country
Chris Tomlin,6pRi6EIPXz4QJEOEsBaA0m,67,1844464,ccm
Chris Young,4BYxqVkZyFjtik7crYLg5Q,67,2746585,contemporary country
Christian Borle,3mXvO1rdMCgdOYNiWeduWG,67,27625,show tunes
Christian Nodal,0XwVARXT135rw8lyw1EeWP,82,14316983,musica mexicana
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,78,8097235,pop
Christina Perri,7H55rcKCfwqkyDFH9wpKM6,71,3735886,pop
Christopher Jackson,6sLwRSXSUF5JTUnQaFenyj,66,49181,show tunes
Ciara,2NdeV5rLm47xAvogXrYhJX,70,6444898,pop
Clairo,3l0CmX0FuQjFxr8SK7Vqag,77,4662120,pov: indie
Clave Especial,0NlNru2YcUz6RbnpYGQz26,69,77323,corrido
