artist_name,artist_id,artist_popularity,artist_n_followers,artist_genres
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,78,668177,['modern bollywood']
Amy Winehouse,6Q192DXotxtaysaqNPy5yR,77,8565955,"['british soul', 'neo soul']"
Ana Castela,2CKOmarVWvWqkNWUatHCex,83,5263365,"['agronejo', 'sertanejo pop']"
Ana Gabriel,41ESHLayJ5sDKjAOv6cMhe,73,4122363,"['latin pop', 'mariachi', 'ranchera']"
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,76,2490190,"['escape room', 'hip hop', 'indie soul', 'neo soul']"
André 3000,74V3dE1a51skRkdII8y2C6,65,526478,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
Andy Grammer,2oX42qP5ineK3hrhBECLmj,67,1186045,"['neo mellow', 'post-teen pop', 'viral pop']"
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,82,27814729,"['desi hip hop', 'filmi', 'tamil hip hop']"
Anitta,7FNnA9vBm6EKceENgCGRMb,81,12369189,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,68,352996,['hollywood']
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,78,11751879,['pop']
Annie Lennox,5MspMQqdVbdwP6ax3GXqum,71,1504418,"['new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'synthpop']"
Anthony Ramos,660YptcR0hNHJ8iEr1qcse,66,149702,['show tunes']
Antonio Aguilar,0PN0fbe41KbuzlRYnoajNm,70,3160179,"['mariachi', 'musica mexicana', 'norteno', 'ranchera']"
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,71,2438857,"['baroque', 'classical', 'early music', 'italian baroque']"
Anuel AA,2R21vXR83lH98kGeO99Y66,87,35022850,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,86,24162317,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Arcángel,4SsVbpTthjScTS7U2hmr1X,84,13721226,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,70,3308471,"['classic soul', 'jazz blues', 'memphis soul', 'neo soul', 'soul', 'southern soul', 'vocal jazz']"
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,66,766822,['alternative r&b']
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,94,95766847,['pop']
Ariel Camacho y Los Plebes Del Rancho,2Lxa3SFNEW0alfRvtdXOul,68,3943883,"['banda', 'corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'sierreno']"
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,89,106755222,"['filmi', 'modern bollywood']"
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,75,4268247,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
Asake,3a1tBryiczPAZpgoZN9Rzg,73,3122323,"['afrobeats', 'nigerian pop']"
Ashanti,5rkVyNGXEgeUqKkB5ccK83,71,2999305,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']"
Ashe,6P5NO5hzJbuOqSdyPB7SJM,69,1558169,['alt z']
Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,68,2255774,"['alt z', 'escape room']"
Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,65,2138345,"['alternative metal', 'metalcore', 'pop punk', 'post-grunge', 'trancecore', 'uk metalcore']"
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,67,4414150,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
Auli'i Cravalho,5mnS9jJdKQQcRSqFu5YPVe,66,145512,['movie tunes']
Autumn!,5delTPpDAtBDsjk60f5xnt,65,494437,"['emoplugg', 'glitchcore', 'plugg', 'pluggnb']"
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,80,6701766,['pop']
Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs,76,6990740,['alternative metal']
Aventura,1qto4hHid1P71emI6Fd8xi,79,7725618,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
Avicii,1vCWHaC5f2uS3yhpwWbIA6,81,22652712,"['dance pop', 'edm', 'pop', 'pop dance']"
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,76,10734883,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
B.o.B,5ndkK3dpZLKtBklKjxNQwT,72,2023169,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']"
BIG30,4nZmMrwH6LxHnCzQv4IFUE,61,605114,['memphis hip hop']
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,81,48441407,"['k-pop', 'k-pop girl group', 'pop']"
BONES,5v2WhpA59TJSdPh7LCx1lN,73,1570154,"['cloud rap', 'dark trap']"
BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,65,2205902,"['boy band', 'rap']"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,87,72435259,"['k-pop', 'k-pop boy group', 'pop']"
Baby Keem,5SXuuuRpukkTvsLuUknva1,78,2226963,"['hip hop', 'rap']"
Baby Smoove,15oLsNy8mZYaIukh4eDhXy,66,347867,"['detroit hip hop', 'detroit trap', 'scam rap']"
Baby Tate,3IJ21966TwNZI24MwZHMu4,72,460932,['trap queen']
BabyTron,0sKsReKseslDlhxmbN6wLk,69,476556,"['detroit hip hop', 'scam rap']"
Babyface Ray,3zZ88AwlTwfCJkowsFCvLA,65,280507,"['detroit hip hop', 'detroit trap']"
Background White Noise,7nixcnKd43u9a29ZMawfnh,79,447,['white noise']
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,75,5567013,"['boy band', 'dance pop', 'pop']"
Bad Bunny,4q3ewBCX7sLwd24euuV69X,95,80246189,"['reggaeton', 'trap latino', 'urbano latino']"
Bad Gyal,4F4pp8NUW08JuXwnoxglpN,75,1547196,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Bad Omens,3Ri4H12KFyu98LMjSoij5V,73,1193642,['american metalcore']
Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,66,701407,"['alternative metal', 'metal', 'post-grunge']"
Badshah,0y59o4v8uw5crbN9M3JiL1,77,25963782,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,75,1049894,"['contemporary country', 'modern country pop']"
Bakar,3K2Srho6NCF3o9MswGR76H,70,547591,['uk alternative hip hop']
Banda El Recodo,6AcOTCYBMvjKYy4zms0kaC,72,3648976,"['banda', 'banda sinaloense', 'musica mexicana', 'norteno']"
Banda MS de Sergio Lizárraga,2C6i0I5RiGzDKN9IAF8reh,79,17187091,"['banda', 'musica mexicana', 'norteno']"
Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,70,563384,"['canadian hip hop', 'indie hip hop', 'queens hip hop', 'rap', 'sudanese hip hop', 'sudanese pop', 'underground hip hop']"
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,76,5477770,"['metropopolis', 'modern rock', 'pop']"
Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,69,5445607,['pop']
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,69,1385685,"['bubblegrunge', 'chicago indie', 'indie pop', 'pov: indie']"
Beach House,56ZTgzPBDge0OvCGgMO3OY,72,2150444,"['baltimore indie', 'dream pop', 'dreamo', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']"
Beach Weather,7I3bkknknQkIiatWiupQgD,70,579324,['pov: indie']
Beastie Boys,03r4iKL2g2442PT9n2UKsx,69,2745261,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']"
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,80,8979706,"['dance pop', 'pop']"
Beck,3vbKDsSS70ZX9D2OcvbZmS,66,1524816,"['alternative rock', 'anti-folk', 'permanent wave', 'rock']"
Becky G,4obzFoKoKRHIphyHzJ35G3,78,14357390,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
Becky Hill,4EPJlUEBy49EX1wuFOvtjK,74,777410,"['pop dance', 'pop house', 'uk dance', 'uk pop']"
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,77,7635491,"['disco', 'mellow gold', 'soft rock']"
Benson Boone,22wbnEMDvgVIAGdFeek6ET,87,2147238,['singer-songwriter pop']
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,71,209356,"['classical', 'classical performance', 'german orchestra', 'orchestra']"
Bethel Music,26T4yOaOoFJvUvxR87Y9HO,70,1773881,"['ambient worship', 'ccm', 'deep ccm', 'world worship', 'worship']"
Beyoncé,6vWDO969PvNqNYHIOW5v0m,93,37071084,"['pop', 'r&b']"
Big Scarr,579LsvZcRVKtToYjS0tkKz,62,488243,['memphis hip hop']
Big Sean,0c173mlxpT3dSFRgMO8XPh,76,11040842,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,67,767747,"['art pop', 'brooklyn indie', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock', 'small room']"
Big Yavo,3PGiywHOqNwJ1bv4S3fgZF,61,159006,['alabama rap']
BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,78,555745,['southern hip hop']
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,75,1671556,"['classic soul', 'funk', 'quiet storm', 'soul']"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,89,93317954,"['art pop', 'pop']"
Billy Currington,1By9QBFnjZAoI83BZppHlt,65,2562654,"['contemporary country', 'country', 'country road']"
Billy Idol,7lzordPuZEXxwt9aoVZYmG,70,1925367,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,78,5841608,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
Bizarrap,716NhGYqD1jl2wI1Qkgq36,85,14850947,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,80,8003863,"['dance pop', 'pop', 'pop rap']"
Black Gryph0n,4ET82ZtSfAK4utfjDauImD,68,211912,"['otacore', 'pixel']"
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,73,7686778,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
Bladee,2xvtxDNInKDV4AvGmjw6d1,66,465434,"['cloud rap', 'drain', 'glitchcore', 'underground hip hop']"
Blake Shelton,1UTPBmNbXNTittyMJrNkvw,69,7079350,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Bleachers,2eam0iDomRHGBypaDQLwWI,70,717106,"['indie pop', 'indie poptimism', 'modern rock', 'pov: indie']"
Blessd,1TA5sGRlKUJXBN4ZyJuDIX,78,3676536,"['reggaeton', 'urbano latino']"
Blondie,4tpUmLEVLCGFr93o8hFFIB,70,1437176,"['candy pop', 'new wave pop', 'permanent wave', 'power pop', 'rock', 'synthpop']"
Bluey,6ca3AFdIIgaP4ZIW8J6zXu,64,181465,"[""australian children's music""]"
Blxst,4qXC0i02bSFstECuXP2ZpL,68,472693,"['pop rap', 'westcoast flow']"
Bo Burnham,2Waw2sSbqvAwK8NwACNjVo,68,1874776,"['comic', 'pov: indie']"
Bob Dylan,74ASZWbe4lXaubB36ztrGX,71,6386449,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']"
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,83,12105506,"['reggae', 'roots reggae']"
Bob Seger,485uL27bPomh29R4JmQehQ,68,2344585,"['album rock', 'classic rock', 'country rock', 'detroit rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,76,3551029,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']"
Bon Jovi,58lV9VcRSjABbAbfWS6skp,79,13027105,"['glam metal', 'rock']"
Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,66,2947759,"['gangster rap', 'hip hop', 'ohio hip hop', 'rap']"
Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg,63,2330451,"['baton rouge rap', 'dirty south rap', 'memphis hip hop', 'southern hip hop', 'trap']"
