artist_name,artist_id,genre,artist_popularity,artist_n_followers,song_name,song_id,song_duration_min,song_popularity,song_artists,album_name,album_year_release,album_month_release,album_day_release
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Who Do You Love,2fVHrSxsQbJUuj9MW9zG1e,3.78,68,['The Chainsmokers'],World War Joy,2019,12,06
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,She's Kinda Hot,5fsQSDifYpjfbCqvZKPVBj,3.61,65,['5 Seconds of Summer'],Sounds Good Feels Good (Deluxe),2015,10,23
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,pop,77,9848206,Me Myself & I,7JJshKQ0Wlu6bZwqamulCE,2.96,64,['5 Seconds of Summer'],5SOS5,2022,09,23
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,In Da Club,4RY96Asd9IefaL3X4LOLZ8,3.22,76,['50 Cent'],Get Rich Or Die Tryin',2003,02,06
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Candy Shop,5D2mYZuzcgjpchVY1pmTPh,3.49,81,['50 Cent'],The Massacre,2005,03,03
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Baby By Me,1x075F39Q0zOhjPzPKgG8E,3.56,81,['50 Cent'],Before I Self-Destruct,2009,01,01
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,4.16,69,['50 Cent'],Get Rich Or Die Tryin',2003,02,06
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,4.27,72,['50 Cent'],Get Rich Or Die Tryin',2003,02,06
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,21 Questions,41bIQPBE1lFN0mmw6Lmssz,3.74,74,['50 Cent'],Get Rich Or Die Tryin',2003,02,06
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Just A Lil Bit,4nva9EpKntUTs6CRSGBCn9,3.96,78,['50 Cent'],The Massacre,2005,03,03
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,If I Can't,7JeKXMQKm6GoLGTkNy2jZ0,3.28,66,['50 Cent'],Get Rich Or Die Tryin',2003,02,06
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Disco Inferno,69bHJ9qs5FrUJbKP8xU8uZ,3.57,75,['50 Cent'],The Massacre,2005,03,03
50 Cent,3q7HBObVc0L8jNeTe5Gofh,rap,83,14042436,Window Shopper,1bevrs76fdGW3y03R5q6GB,3.2,64,['50 Cent'],Window Shopper,2005,11,06
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,Love Songs - Remix,51hwmwhhizBDG0RVgFH4oX,2.5,50,['Various Artists'],Sex Music 2022,2022,08,10
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,4.01,73,['6LACK'],East Atlanta Love Letter,2018,09,14
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,OTW,6Hgh47WXVKtXN5zGOu0hjI,4.38,70,"['Khalid', '6LACK', 'Ty Dolla $ign']",OTW,2018,04,20
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,PRBLMS,4AtZRwSR8BOTTQg5ihSggt,4.11,70,['6LACK'],FREE 6LACK,2016,11,18
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,I Want You Around (feat. 6lack) - Remix,4W1qmb9zeydLNKEqOtdIFc,3.55,45,"['Snoh Aalegra', '6LACK']",I Want You Around (feat. 6lack) [Remix],2019,11,01
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,Inwood Hill Park,4qZLrKsaGkYmVRGUviVPtk,3.16,64,['6LACK'],Since I Have A Lover,2023,03,24
6LACK,4IVAbR2w4JJNJDDRFP3E83,rap,73,4638212,Temporary (feat. Don Toliver),0bTiLwSo2xmhA6BcCXTOkx,2.97,63,['6LACK'],Since I Have A Lover,2023,03,24
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,2.99,80,['A Boogie Wit da Hoodie'],Hoodie SZN,2018,12,21
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,My Shit,5uQOauh47VFt3B2kV9kRXw,2.14,77,['A Boogie Wit da Hoodie'],Artist,2016,09,16
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Secrets,2xB46Bj9HZ4cr058yN4Pla,2.22,76,['A Boogie Wit da Hoodie'],Artist 2.0 (Deluxe),2020,06,19
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Still Think About You,2FTeQQ5Rg9tBpgpTF5mnhE,4.12,76,['A Boogie Wit da Hoodie'],Artist,2016,09,16
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Steppas,1NIYStZPXSEwxoeX28lK5e,3.35,75,['A Boogie Wit da Hoodie'],Steppas,2024,03,29
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Jungle,5uZm7EFtP5aoTJvx5gv9Xf,2.9,73,['A Boogie Wit da Hoodie'],Artist,2016,09,16
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,3.16,71,['A Boogie Wit da Hoodie'],Hoodie SZN,2018,12,21
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Me and My Guitar,6cZH4rX1KTt1aJ3Ql6Ynja,2.7,69,['A Boogie Wit da Hoodie'],Artist 2.0,2020,02,14
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,rap,80,8069601,Demons and Angels (feat. Juice WRLD),3L19besdNQzd342qL78xqm,3.58,68,['A Boogie Wit da Hoodie'],Hoodie SZN,2018,12,21
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,The Downfall Of Us All,1KHKeIouP04dDtl0EetgED,3.48,71,['A Day To Remember'],Homesick,2009,02,03
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,If It Means A Lot To You,3rEwGRmPVVudVjqdgv0tRR,4.05,69,['A Day To Remember'],Homesick,2009,02,03
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,All Signs Point To Lauderdale,0T8P86fvSK8kCUJFYPZbIH,3.29,68,['A Day To Remember'],What Separates Me From You,2010,11,16
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,All I Want,4JsDHMv5PVO8N07DbDq33r,3.38,67,['A Day To Remember'],What Separates Me From You,2010,11,16
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,"I'm Made Of Wax, Larry, What Are You Made Of?",2dwhns14pjuxxcM5a0eOow,3.01,65,['A Day To Remember'],Homesick,2009,02,03
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,Miracle,2ah5gOCogw00A62XBoepmc,4.07,65,['A Day To Remember'],Miracle,2022,07,21
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,Paranoia,3HhaSocKwTptze7PySNZlW,3.34,64,['A Day To Remember'],Bad Vibrations (Deluxe Edition),2016,09,02
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,Since U Been Gone,45oBSaWml0fU1S6qcHcpxF,3.3,64,['A Day To Remember'],For Those Who Have Heart (Deluxe Edition),2007,01,22
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,Have Faith In Me,4IX6QvjOI62tyHigVsTUlv,3.15,63,['A Day To Remember'],Homesick,2009,02,03
A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,alternative metal,69,2289983,Mr. Highway's Thinking About The End,3VnBhHJdT7p05Wtenu4fmt,4.26,62,['A Day To Remember'],Homesick,2009,02,03
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,4.19,71,['A Tribe Called Quest'],People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),1990,04,17
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Electric Relaxation,0eEXcw3JLVXcRxYrVYMy68,3.77,69,['A Tribe Called Quest'],The Anthology,1999,10,26
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Check the Rhime,4HfxDJ0uLHTLe0fZrx0MbQ,3.61,66,['A Tribe Called Quest'],The Low End Theory,1991,09,24
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Award Tour (feat. Trugoy The Dove),5YTM7OgQDt9EJAYcfHLniJ,3.77,64,['A Tribe Called Quest'],Midnight Marauders,1993,11,09
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Find a Way,2MAaiV0bbeq4FpSwPe2rR8,3.38,64,['A Tribe Called Quest'],The Love Movement,1998,09,29
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,The Hop,7f1UEGMBMuXfLBP5XANfrW,3.46,63,['A Tribe Called Quest'],"Beats, Rhymes & Life",1996,07,30
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Jazz (We've Got),7AgMX97ljLm9BzszyyXEYZ,4.17,62,['A Tribe Called Quest'],The Low End Theory,1991,09,24
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,hip hop,67,2078600,Buggin' Out,6GAemDMWAXa8wZOBkO1gar,3.62,60,['A Tribe Called Quest'],The Low End Theory,1991,09,24
